CODEETBS,LIBETBS,FINESS,CODEUF,LIBUF,DATEUF1,DATEUF2,ACTIVITE,INDICATEURT2A,BUDGET,ANALYSE,CA,LIBCA,CODECR,LIBCR,CODEPOLE
XX,C.H. ANONYME,870123456,000820,TOUT SECTEUR PEDO,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,980,TOUT SECTEUR INT.SECTEUR.,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000821,REGUL UF PAV 15,2004/05/01 00:00:00,2999/12/31 00:00:00,Service,,H,9235,961,HOS. SECTEUR 2,600,SECTEUR 2,1
XX,C.H. ANONYME,870123456,000850,HJ GUERET,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,982,JOUR INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000851,SEJOUR TH POLE 3 GUERET,2009/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,980,TOUT SECTEUR INT.SECTEUR.,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000852,LIAISON PEDIATRIE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234234,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000861,VAD EQUIPE SECT PEDO GUER,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,986,VAD PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000862,VAD EQUI SECT PEDO SOUTER,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,986,VAD PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000863,VAD EQUI SECT PEDO AUBUSS,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9234909,986,VAD PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000864,CATTP ADOLESCENTS,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000868,CATTP LA SOUT,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000869,CATTP AUBUSSON,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000870,HJ HERMITAGE,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,982,JOUR INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000871,SEJ TH HERMITAGE,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,980,TOUT SECTEUR INT.SECTEUR.,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000880,HJ COLEGRAM,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,982,JOUR INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000881,SEJOUR TH LOKALADO,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,980,TOUT SECTEUR INT.SECTEUR.,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000885,CATTP GUERET,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000890,CONSULT. GUERET,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000891,SEJ TH COLEGRAM,2013/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,980,TOUT SECTEUR INT.SECTEUR.,800,INTERSEC.PSY.INF.JUVENILE,
XX,C.H. ANONYME,870123456,000892,CONSULT LA SOUTERAIN,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000894,CONSULT. AUBUSSON,1901/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,92,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000895,AFT COMPLET POLE 3,1993/05/01 00:00:00,2999/12/31 00:00:00,Service,,H,923911,985,ACCUEIL FAM THERAP PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000896,AFT NUIT POLE 3,1993/05/01 00:00:00,2999/12/31 00:00:00,Service,,H,923911,985,ACCUEIL FAM THERAP PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000897,CONSULTATIONS ADOLESCENTS,1995/10/02 00:00:00,2999/12/31 00:00:00,Service,,H,9234900,984,CONSULT.INTERSECTEUR,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000898,AFT JOUR POLE 3,1996/01/09 00:00:00,2999/12/31 00:00:00,Service,,H,923911,985,ACCUEIL FAM THERAP PEDO,800,INTERSEC.PSY.INF.JUVENILE,3
XX,C.H. ANONYME,870123456,000999,UF D'ORDRE,1992/11/30 00:00:00,2999/12/31 00:00:00,Service,,H,92000,910,DIRECTION GENERALE,100,ADMINISTRATION,5
XX,C.H. ANONYME,870123456,0001101,LOCATION APPARTEMEN,1989/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9210,901,LOCATION APPARTEMENT,1100,LOCATION APPARTEMENT,5
XX,C.H. ANONYME,870123456,0001201,BOURSES D ETUDES,1994/10/17 00:00:00,2999/12/31 00:00:00,Service,,H,926000,903,APPARTEMENTS TRANSITION,1200,TOUS SECTEURS,5
XX,C.H. ANONYME,870123456,0001207,LONG SEJOUR,1995/03/01 00:00:00,2999/12/31 00:00:00,Service,,H,923510,907,LONG SEJOUR,1200,TOUS SECTEURS,4
XX,C.H. ANONYME,870123456,0001230,HOSP JOUR MAURICE DIDE,2003/06/24 00:00:00,2999/12/31 00:00:00,Service,,H,92,908,HOSP TOUS SECTEURS,1200,TOUS SECTEURS,1
XX,C.H. ANONYME,870123456,0001240,HOSP NUIT MAURICE DIDE,2003/06/24 00:00:00,2999/12/31 00:00:00,Service,,H,92,908,HOSP TOUS SECTEURS,1200,TOUS SECTEURS,1
XX,C.H. ANONYME,870123456,0001301,EHPAD HEBERGEMENT,2003/01/01 00:00:00,2999/12/31 00:00:00,Service,,E,9238000,990,EHPAD,1300,EHPAD,4
XX,C.H. ANONYME,870123456,0001302,EHPAD SOINS,2003/01/01 00:00:00,2999/12/31 00:00:00,Service,,E,9238000,990,EHPAD,1300,EHPAD,4
XX,C.H. ANONYME,870123456,0001303,EHPAD DEPENDANCE,2003/01/01 00:00:00,2999/12/31 00:00:00,Service,,E,9238000,990,EHPAD,1300,EHPAD,4
XX,C.H. ANONYME,870123456,0001304,UHR,2010/10/01 00:00:00,2999/12/31 00:00:00,Service,,E,,990,EHPAD,1300,EHPAD,4
XX,C.H. ANONYME,870123456,0001415,SECRETARIAT ACCES,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203100,927,ACCES,1400,FONCTION ACCOMPAGN SOCIAL,5
XX,C.H. ANONYME,870123456,0001417,BAR COIF LOISIR AUMONERIE,2001/01/01 00:00:00,2999/12/31 00:00:00,Service,,H,9203122,925,ANIMATION,1400,FONCTION ACCOMPAGN SOCIAL,1
XX,C.H. ANONYME,870123456,0001501,CSAPA,2014/01/04 00:00:00,2999/12/31 00:00:00,Service,,P,9234900,991,C.CURE AMBUL.ALCOOLOGIE,1500,C.CURE AMBUL.ALCOOLOGIE,4
XX,C.H. ANONYME,870123456,0001701,M.A.S.,2008/12/02 00:00:00,2999/12/31 00:00:00,Service,,X,92,935,M.A.S.,1700,M.A.S.,4
XX,C.H. ANONYME,870123456,0001702,UF MAS RECTIF CONS. 2008,2008/12/01 00:00:00,2999/12/31 00:00:00,Service,,X,92,935,M.A.S.,1700,M.A.S.,4
XX,C.H. ANONYME,870123456,0002090,A VENTILER,1988/01/29 00:00:00,2999/12/31 00:00:00,Service,,H,931112100,909,ADM.GENERALE FOURTOUT,900,AUTRES SERVICES,5
XX,C.H. ANONYME,870123456,0002091,REGUL.STOCK,1988/05/25 00:00:00,2999/12/31 00:00:00,Service,,H,92,909,ADM.GENERALE FOURTOUT,900,AUTRES SERVICES,5
XX,C.H. ANONYME,870123456,0009999,UF D'ORDRE,1992/11/30 00:00:00,2999/12/31 00:00:00,Service,,H,92000,910,DIRECTION GENERALE,100,ADMINISTRATION,5

